
[02:21:20.000 --> 02:21:21.000]   >> Thank you.
[03:31:23.900 --> 03:31:26.900]   that was more than four years.
[03:31:26.900 --> 03:31:31.900]   Let's say we could require as a board, I believe if I'm not
[03:31:31.900 --> 03:31:34.900]   mistaken that that be a super majority of the board that has
[03:31:34.900 --> 03:31:38.900]   to vote on that because that is in essence.
[03:31:38.900 --> 03:31:43.900]   For more intensive purposes, even if it's not called a license,
[03:31:43.900 --> 03:31:47.900]   it's still like a lease and it binds us so that for right now,
[03:31:47.900 --> 03:31:51.900]   we have a 25 year license agreement that is binding us and
[03:31:51.900 --> 03:31:55.900]   diminishing our property value.
[03:31:55.900 --> 03:31:58.900]   And yet it only took a four to three vote.
[03:31:58.900 --> 03:32:02.900]   I think that we need to revisit that so that we don't bind.
[03:32:02.900 --> 03:32:08.900]   We don't bind up our property without a super majority of the
[03:32:08.900 --> 03:32:09.900]   board supporting that.
[03:32:09.900 --> 03:32:14.900]   So that would be something I think we should add to 93 23.2 a.
[03:32:15.900 --> 03:32:18.900]   I think that's kind of a new situation.
[03:32:18.900 --> 03:32:21.900]   We haven't had that situation before where we've called, you
[03:32:21.900 --> 03:32:24.900]   know, where we've approved that long of a license.
[03:32:24.900 --> 03:32:28.900]   But I think that that is.
[03:32:28.900 --> 03:32:31.900]   I think it's a pretty.
[03:32:31.900 --> 03:32:33.900]   It's a pretty serious act that we should.
[03:32:33.900 --> 03:32:37.900]   Have stronger agreement on.
[03:32:37.900 --> 03:32:41.900]   If we're going to do that and we could decide on the number of
[03:32:41.900 --> 03:32:44.900]   years, if it's four years, if it's five years, if it's 10 years,
[03:32:44.900 --> 03:32:45.900]   whatever it is.
[03:32:45.900 --> 03:32:50.900]   I think it's important that we add that to our list of what would
[03:32:50.900 --> 03:32:52.900]   be, what would require a super majority.
[03:32:52.900 --> 03:32:59.900]   Those were my suggestions on these policies.
[03:32:59.900 --> 03:33:06.900]   So I don't think we need to vote, but we would be direction by
[03:33:06.900 --> 03:33:07.900]   the board if.
[03:33:08.900 --> 03:33:11.900]   We would like staff to revise those.
[03:33:11.900 --> 03:33:15.900]   Board policies to reflect their recommendations made by
[03:33:15.900 --> 03:33:16.900]   trustee Erickson.
[03:33:16.900 --> 03:33:31.900]   And I think for each of these, I think, except for the last one,
[03:33:31.900 --> 03:33:35.900]   I think I have language already that's elsewhere in CSPA that we
[03:33:35.900 --> 03:33:39.900]   can insert there, including the one for board bylaw.
[03:33:39.900 --> 03:33:47.900]   I think I've heard there in regards to questioning by the
[03:33:47.900 --> 03:33:51.900]   board during a board meeting, but then also whether or not the
[03:33:51.900 --> 03:33:56.900]   board president could assign a Disney or approve another board
[03:33:56.900 --> 03:33:58.900]   member to speak to the attorney.
[03:34:01.900 --> 03:34:05.900]   And then for the super majority on the board license lease, I
[03:34:05.900 --> 03:34:07.900]   think that's the appropriate board bylaw.
[03:34:07.900 --> 03:34:11.900]   So just probably connect the legal council on that to
[03:34:11.900 --> 03:34:13.900]   advise on that language.
[03:34:13.900 --> 03:34:21.900]   I have a question and I'm not sure if it's, I couldn't find it
[03:34:21.900 --> 03:34:24.900]   in any of that bylaws here, but I'm not sure.
[03:34:24.900 --> 03:34:30.900]   I know there was recent legislation that requires that board
[03:34:30.900 --> 03:34:34.900]   members have to identify if they receive campaign
[03:34:34.900 --> 03:34:39.900]   contributions above $200 and that they have to recuse
[03:34:39.900 --> 03:34:42.900]   themselves from a vote or something like that.
[03:34:42.900 --> 03:34:47.900]   Or they just have to say it during the vote that, you know,
[03:34:47.900 --> 03:34:53.900]   they have received money from an entity that we are voting on.
[03:34:53.900 --> 03:34:55.900]   And that is law.
[03:34:55.900 --> 03:35:00.900]   So, but is it, and I know we have to follow that, but is that
[03:35:00.900 --> 03:35:03.900]   something that we should be incorporating into our bylaws to
[03:35:03.900 --> 03:35:07.900]   make it consistent so that if somebody wants to go to it and
[03:35:07.900 --> 03:35:09.900]   you can see it right there.
[03:35:09.900 --> 03:35:12.900]   I can review that for you, Trustee Ilmasaki, because I know
[03:35:12.900 --> 03:35:14.900]   that that was a conflict of interest.
[03:35:14.900 --> 03:35:17.900]   Board bylaw was something that we had just revised.
[03:35:17.900 --> 03:35:20.900]   I think we'll be at the last turnaround that we did the last
[03:35:20.900 --> 03:35:21.900]   time.
[03:35:21.900 --> 03:35:25.900]   And it wasn't on the list of CSB bylaws for updates for this
[03:35:25.900 --> 03:35:26.900]   round.
[03:35:26.900 --> 03:35:29.900]   So I'll review the last one to see if that's incorporated.
[03:35:29.900 --> 03:35:32.900]   And it's not, if there's any, because I think there might have
[03:35:32.900 --> 03:35:34.900]   been one update since we put these together.
[03:35:34.900 --> 03:35:36.900]   That's come out from CSB.
[03:35:36.900 --> 03:35:41.900]   >> I think that's an important one to say because, you know.
[03:35:41.900 --> 03:35:42.900]   >> Yeah, certainly.
[03:35:42.900 --> 03:35:45.900]   And then I think we talked about the incorporating that into the
[03:35:45.900 --> 03:35:49.900]   meeting that we have with the candidates for the board.
[03:35:49.900 --> 03:35:50.900]   >> Okay.
[03:35:50.900 --> 03:35:51.900]   Thank you.
[03:35:51.900 --> 03:35:52.900]   >> Any additional?
[03:35:52.900 --> 03:35:53.900]   >> Yeah, I do have one question.
[03:35:53.900 --> 03:35:56.900]   Trustee Erickson made a reference to the student form of the
[03:35:56.900 --> 03:35:57.900]   policy.
[03:35:57.900 --> 03:36:04.900]   I just want to ask her what her intention is with that.
[03:36:04.900 --> 03:36:08.900]   What revisions would you like to see with reforms to the student
[03:36:08.900 --> 03:36:09.900]   form of the policy?
[03:36:09.900 --> 03:36:12.900]   Because I understand that each school side has their own
[03:36:12.900 --> 03:36:14.900]   jurisdiction over the student board members.
[03:36:14.900 --> 03:36:17.900]   And if you'd like to make revisions, I'd be more than happy to
[03:36:17.900 --> 03:36:18.900]   work with you on that.
[03:36:18.900 --> 03:36:19.900]   >> That'd be great.
[03:36:19.900 --> 03:36:21.900]   It's not on the agenda so we can talk offline.
[03:36:21.900 --> 03:36:22.900]   >> Absolutely, of course.
[03:36:22.900 --> 03:36:24.900]   And I do have one question.
[03:36:24.900 --> 03:36:27.900]   It states here that if a charter school governing body requests
[03:36:27.900 --> 03:36:30.900]   technical assistance, the board of education shall provide such
[03:36:30.900 --> 03:36:34.900]   assistance consistent with education code 47607A1 or 2.
[03:36:34.900 --> 03:36:37.900]   If the charter school has not been identified for technical
[03:36:37.900 --> 03:36:41.900]   assistance pursuant to ed code 4607.3a, the board may assess and
[03:36:41.900 --> 03:36:45.900]   fee for the assistance not to exceed the cost of the service.
[03:36:45.900 --> 03:36:48.900]   For charter schools offering technical assistance, the board
[03:36:48.900 --> 03:36:53.900]   may assess and fee for the assistance not to exceed the cost of
[03:36:53.900 --> 03:36:54.900]   the service.
[03:36:54.900 --> 03:36:57.900]   For charter schools operating before July 1, 2020, the technical
[03:36:57.900 --> 03:37:01.900]   assistance provisions of education code 47607.3a, the first
[03:37:01.900 --> 03:37:05.900]   one shall apply to June 3, 2022.
[03:37:05.900 --> 03:37:09.900]   And my question is what defines technical assistance?
[03:37:09.900 --> 03:37:12.900]   Because I'm under the understanding that technical
[03:37:12.900 --> 03:37:16.900]   assistance as far as statutory interpretation goes is that
[03:37:16.900 --> 03:37:25.420]   It relates to repairs, development, and factures, and testing, and maintenance as well. So what's kind of the education definition of a technical system?
[03:37:25.420 --> 03:37:42.720]   Thank you, Mr. Tran. And I did want to confirm that I didn't receive that email from me. It kind of came late in this afternoon. So, uh, we weren't able to get the complete answer back to the board in time. But I did have enough time to alert Ms. Nid that there was a question about that. So, I think we'll turn it over to her.
[03:37:43.440 --> 03:38:05.160]   And I just want to clarify that the charter school oversight pertains to charter schools that we authorized, correct? Yes. The ones that are that are subject to our board policies are the ones that we authorized. So the current, um, charters that we authorized are Santiago and El Rancho.
[03:38:05.160 --> 03:38:17.200]   Um, would it be appropriate for this charter school one to, um, ask that charter schools put their board meetings on a different day than our board meetings?
[03:38:17.200 --> 03:38:29.680]   I don't believe it's a requirement. Um, I know it's not, but it makes it easier for our staff. So they're not splitting their time. And, you know, they're just.
[03:38:29.680 --> 03:38:34.920]   I'll make a note of it and I believe that it's something that we can request of them. Okay.
[03:38:35.920 --> 03:38:41.920]   Thanks. And these are for authorized charter school, obviously. Yeah, right.
[03:38:41.920 --> 03:38:52.920]   Superintendent Gonzalez, the policy that I just referenced, or that certain section, do you have any idea how that may have been implemented? Oh, I'm not, it's my apologies. I've gone home.
[03:38:52.920 --> 03:39:00.920]   No, no apologies necessary. And I don't have the complete answer, but I wanted to have these touched on it and then move to get some information back.
[03:39:00.920 --> 03:39:13.920]   Um, the technical assistance in of itself is a, is a pretty vague definition, but if you mean a lot of different, um, different avenues, um, typically technical assistance is provided, um, really on an individual basis to address identified need.
[03:39:13.920 --> 03:39:21.920]   And that could include things such as, um, relevant resources, programs, and so forth. Um, but we'll get a more complete answer for you.
[03:39:21.920 --> 03:39:32.920]   Of course, absolutely. Thank you so much. It's just, it's interesting because on the last month, our manager Charlie came up here, presenter amazing statistics and their hard work that they're doing here are doing an orange unified.
[03:39:32.920 --> 03:39:45.920]   And I think it'd be awesome to have his policy renewed because the future status quo, if this is removed, charter schools would have to go through the county board of education, which is a whole different process as a whole different jurisdiction.
[03:39:45.920 --> 03:39:48.920]   Right. So that's something to take into consideration.
[03:39:49.920 --> 03:40:03.920]   Thank you. We will get you a complete answer, but some of the technical assistance that a charter school might need, like, uh, just the same as some of our schools that get technical assistance also get that from the county as well.
[03:40:03.920 --> 03:40:05.920]   Of course, thank you.
[03:40:08.920 --> 03:40:25.920]   Thank you. And thank you for also bringing up those two board members policy. That was something that superintendent Gonzalez and I were planning to bring up this coming year as well and work with our board members to revise it and enhance it because it does need additional certification.
[03:40:25.920 --> 03:40:27.920]   Right. It's very old.
[03:40:27.920 --> 03:40:37.920]   Yeah, I think it just, it doesn't incorporate any of the code of conduct that you all have spoken about. Like, there's just a lot of things that it's just old. It just needs to be updated.
[03:40:37.920 --> 03:40:47.920]   Well, and also some of the things in that, um, in that board bylaw, we thought might be because it seems like each year are our student board members take on a project.
[03:40:47.920 --> 03:41:03.920]   And so we were talking about the different types of projects that we could present to them. And, um, and so there was some pieces in that work by law that we wanted to present to the student board members as a suggested projects for them for this year.
[03:41:03.920 --> 03:41:19.920]   Absolutely. I'm interested in you spoke of, you know, kind of court of conduct, court of politics, court of conduct. And as far as board policy goes, I do believe that student board members are on an equal standing with their fellow trustees at board meetings as recognized, right?
[03:41:19.920 --> 03:41:27.920]   But to add on to that, I believe you also do CSB trainings as well, which should be expected for student board members.
[03:41:27.920 --> 03:41:37.920]   Yes, and I believe Miss Eric shared that all of you are registered. So it's exciting that our incoming student board members are already planning ahead.
[03:41:37.920 --> 03:41:39.920]   Going back to.
[03:41:39.920 --> 03:41:49.920]   Yeah, the comment. Well, I just comment that could we get a copy of your answers to Mr. Frans questions to.
[03:41:49.920 --> 03:41:53.920]   Yes, the ones for the charter school will be sent to all the board members.
[03:41:53.920 --> 03:42:07.920]   Thank you. In the beginning, Tracy Erickson also asked and requested a revision or a review of all our board policies and bylaws. And I just wanted to ask the board.
[03:42:07.920 --> 03:42:20.920]   Is that something that you would want to review as its own study session or be included a part of the training and creation.
[03:42:20.920 --> 03:42:30.920]   Just so you know what I was thinking, I was thinking that we would initially do, we would chunk it out. Like, in other words, we've always go over these policies like twice a year. There's no reason we need to do that.
[03:42:30.920 --> 03:42:41.920]   Like, we could start with for bylaws and sort of look at those and decide if we want to make any changes and then kind of move on from there.
[03:42:41.920 --> 03:42:49.920]   Knowing that staff is going to bring us legal changes. So these are just changes that we as a board might want to establish as a policy.
[03:42:49.920 --> 03:42:56.920]   So the superintendent could ask all the board members if there's any additional policies, they would also like to bring up for review.
[03:42:56.920 --> 03:42:59.920]   Right. Thank you.
[03:42:59.920 --> 03:43:03.920]   Any additional comments?
[03:43:03.920 --> 03:43:04.920]   Okay.
[03:43:04.920 --> 03:43:08.920]   Thank you for the discussion.
[03:43:08.920 --> 03:43:17.920]   Now moving on to consent items, consent items can be taken all as one, unless there's an item to be pulled.
[03:43:17.920 --> 03:43:21.920]   If not, is there a motion to approve items?
[03:43:21.920 --> 03:43:25.920]   Thank you, Trustee LaTega. Is there a second?
[03:43:25.920 --> 03:43:30.920]   Thank you, Trustee Glass. Any discussion or questions?
[03:43:30.920 --> 03:43:32.920]   All in favor?
[03:43:32.920 --> 03:43:36.920]   Motion passes 7-0.
[03:43:36.920 --> 03:43:39.920]   17 public comment on non-agentized items.
[03:43:39.920 --> 03:43:46.920]   Trustee Erickson. Yes, we have several, three of which are the USD students who will be going first.
[03:43:46.920 --> 03:43:51.920]   Do you want me to read the public comment language again?
[03:43:51.920 --> 03:44:04.920]   All right. First up, Alexander Tran.
[03:44:04.920 --> 03:44:10.920]   Perfect. Well, thank you. You guys knew who I am. My name is Alex Tran. I'm a student board member at Boulevard High School.
[03:44:10.920 --> 03:44:21.920]   I am a senior and about to graduate. Looking at the previous discussion that we had at the board meeting and Trustee's Erickson's request to update the meeting costs.
[03:44:21.920 --> 03:44:25.920]   I believe it also, I'm not going to be in cause of my apologies, there are costs for the 50-meter pool.
[03:44:25.920 --> 03:44:33.920]   I believe it also be wise as a matter of transparency to include how much money that we have for current reserves for restricted facilities funding.
[03:44:33.920 --> 03:44:42.920]   I checked out Niagara Niagara's 2023 financial audit and we have $100 million in restricted funding for buildings facilities only.
[03:44:42.920 --> 03:44:52.920]   And to add on to that, we have a $24 million, which is replenished annually in county school facilities fund, which is supposed to be used for modernization projects like a 50-meter pool.
[03:44:52.920 --> 03:45:00.920]   So just as a matter of transparency, I believe it would be wise to add that as well. Thank you so much.
[03:45:00.920 --> 03:45:10.920]   Next up, Aiden Kilborn, followed by Lucy Flynn.
[03:45:10.920 --> 03:45:17.920]   Good evening board members. My name is Aiden Kilborn and I'm here to speak on the 50-meter pool for Boulevard High School.
[03:45:17.920 --> 03:45:23.920]   So currently I'm going to my fourth year of high school and aquatics at Boulevard High School.
[03:45:23.920 --> 03:45:30.920]   And this program has done a lot for me. I came into the school not being athletic at all and never having done sports before and honestly it wasn't very social.
[03:45:30.920 --> 03:45:39.920]   And coming into this program, I was able to do something physically and grow my social life largely as I think many other students are able to do.
[03:45:39.920 --> 03:45:53.920]   So this should be the focus and a strong point of our aquatics program in our pool, but due to the current state of the pool, instead of having these positive effects on people's physical health and social activities with students around them,
[03:45:53.920 --> 03:46:10.920]   it's grown to be negatively impacting some students with many students I know personally getting injured such as cutting themselves on the pool deck due to its deteriorated state from low repairs over a long period of time.
[03:46:10.920 --> 03:46:24.920]   So I think that repairing the school would be able to solve this problem and I think it's a necessity to preserve the safety of the students.
[03:46:24.920 --> 03:46:40.920]   And in addition to the safety and preservation of the desire of the students to exercise, it also has the opportunity to expand on these great things that it already offers because with a larger pool area with a 50 meter pool,
[03:46:40.920 --> 03:46:56.920]   there's more space for more activities, more students' growth of current programs to participate simultaneously and we can host larger events and with these larger events it even further promotes our school,
[03:46:56.920 --> 03:47:13.920]   people to come to our school and we can host larger events which can draw in, again, other students with people wanting to come and see the events or it can generate revenue such as any other large sporting event to do throughout the district.
[03:47:13.920 --> 03:47:23.920]   And I just think there's a lot of good qualities that can be preserved by repairing and renewing our pool.
[03:47:23.920 --> 03:47:29.920]   That's all I have to say. Thank you for your time.
[03:47:29.920 --> 03:47:40.920]   Thank you. Lucy Flynn.
[03:47:40.920 --> 03:47:48.920]   Good evening, board members. I'm also here to talk about the 50 meter pool at Belle Park High School.
[03:47:48.920 --> 03:47:57.920]   Our pool is honestly becoming a liability for anyone who sets even foot on deck, not just hops in the water.
[03:47:57.920 --> 03:48:06.920]   This past summer we actually had a girl had to get 11 stitches after she cut her foot open on pool wall.
[03:48:06.920 --> 03:48:25.920]   At the last minute we had a boy from another team cut open his foot while also getting out of the pool. I think it's just a matter of time before the pool becomes too much of a liability and someone gets very seriously injured and then the district could possibly get sued.
[03:48:25.920 --> 03:48:42.920]   And then I think a 50 meter pool is the best decision for our district since every single surrounding district has at least 150 meter pool, most of them more, just like the Irvine district, which every single high school has a 50 meter pool.
[03:48:42.920 --> 03:49:01.920]   And this year we will also be combining leagues with the freeway league and all of their schools have received new pools, five out of the six schools in that district have received a new pool and their sixth one is going to be starting soon.
[03:49:01.920 --> 03:49:22.920]   Also, a 50 meter pool would give our coaches more etiquette space to run practices because right now for water polo, both varsity and junior varsity have to practice together, which honestly our coaches should be giving the junior varsity kids more like different treatment than the varsity kids.
[03:49:22.920 --> 03:49:31.920]   So they can work up their skills and become better water polo players so that we can have a more elite team.
[03:49:31.920 --> 03:49:40.920]   And then during swim season, our coaches have to run two separate practices during the day because there are too many kids for our pool to accommodate.
[03:49:40.920 --> 03:50:00.920]   So we have a morning session and an evening session for our aquatics athletes and a 50 meter pool would allow our coaches to run one practice and it would also give our coaches better opportunity to help our athletes enhance their skills and their abilities and make our team more elite.
[03:50:00.920 --> 03:50:19.920]   So that's all I have to say. Thank you. Thank you, Lucy. Next up is Alex Broussot.
[03:50:19.920 --> 03:50:30.920]   My name is Alex Broussot. I am a parent of a wonderful child in Orange Unified School District. I'm a homeowner. I'm a taxpayer in the district.
[03:50:30.920 --> 03:50:40.920]   I'm here for three minutes tonight to celebrate, not because I turned 42 today, but I'm here to celebrate Orange Unified School District.
[03:50:40.920 --> 03:50:53.920]   I'm here to celebrate Orange Unified School District because when I got involved in Orange Unified School District, there was a board majority of Rick Ladesma, Madison Minor, John Ortega, and Angie Rumsey.
[03:50:53.920 --> 03:51:09.920]   And I'm celebrating tonight because as of this December, Rick Ladesma, Madison Minor, Angie Rumsey, and John Ortega will no longer be trustees in Orange Unified School District.
[03:51:09.920 --> 03:51:21.920]   We said no more. We got up and we said no, you can't do these things. We recalled two of them. The other two decided that the public said no and decided not to run for reelection.
[03:51:21.920 --> 03:51:35.920]   As I look back at the last 20 months, I'm thankful and I'm celebrating our community. I'm celebrating the friends I made along the way. I'm celebrating the leaders of the recall.
[03:51:35.920 --> 03:51:53.920]   And I'm celebrating the wonderful staff in Orange Unified School District that weathered the storm, that stayed with us, that stayed in our school district, that didn't go elsewhere when they were tempted to do so, that didn't flee the school district like so many did.
[03:51:53.920 --> 03:52:06.920]   The wonderful administrators, the wonderful teachers, and the wonderful people who are bringing in the next school year, who are helping our children to learn and grow.
[03:52:06.920 --> 03:52:21.920]   And I look forward to the future and the future that we have with the candidates who are running for the vacant seats that are being left by John Ortega and Angie Rumsey in Matthew Thomas and Sierra Vane.
[03:52:21.920 --> 03:52:30.920]   And the reelections of Trustees Anna Page, Stephen Glass, and Sarah Pelley.
[03:52:30.920 --> 03:52:50.920]   I look forward to the good work that will be done in Orange Unified School District by a school board that I hope will be transparent, that I hope will govern on behalf of the students in Orange Unified School District for the benefit of the students in Orange Unified School District.
[03:52:50.920 --> 03:52:56.920]   Thank you very much.
[03:52:56.920 --> 03:53:08.920]   Thank you. Next up we have Greg Goodlander.
[03:53:08.920 --> 03:53:21.920]   Good evening, Board President Page, members of the board, Superintendent Gonzalez, Cabinet, and community. I am Greg Goodlander, the proud president of the Orange Unified Education Association, OUEA.
[03:53:21.920 --> 03:53:24.920]   I'm here tonight to talk about two things.
[03:53:24.920 --> 03:53:37.920]   The first is the next school year. In my five years as union president, I've gone through the COVID-19 pandemic, I've gone through the political strife and chaos of this last school year, and I've led our union through some tough contract negotiations.
[03:53:37.920 --> 03:53:58.920]   And through the past five years, much has changed. From new superintendents, to regional trustees, to new trustees, through constantly changing cabinets, to the excitement of measure S facility enhancements, but what hasn't changed is that OUEA is still here, I'm still here, and I believe that OUEA is stronger now than ever before.
[03:53:58.920 --> 03:54:04.920]   I'm hopeful for more calm in this space in this room, and I'm looking forward to what lies ahead.
[03:54:04.920 --> 03:54:13.920]   OUEA will continue to work for better public education, and with that, I'll be to my second topic, community schools.
[03:54:13.920 --> 03:54:24.920]   A few months ago, Trustee Erickson from the Dias specifically asked for a presentation regarding community schools grants and program that's currently in place in OUSD.
[03:54:24.920 --> 03:54:34.920]   Such a public presentation can highlight what is going well, share areas of growth, and provide you as trustees the opportunity to oversee this program.
[03:54:34.920 --> 03:54:47.920]   The community schools grant program provides additional funding to about one fourth of our schools, and theoretically, parents, staff, and students provide input on allocation of these new resources at a school.
[03:54:47.920 --> 03:54:55.920]   OUEA supports this program, but does have concerns about its current implementation. We are not alone.
[03:54:55.920 --> 03:55:04.920]   Public comment in this room has been for improvement of the community schools initiative, and the trustee has asked for this presentation.
[03:55:04.920 --> 03:55:18.920]   The public, the board, and the union request that you please direct your staff leadership to provide a public presentation and have a conversation about the community schools program currently in place in OUSD.
[03:55:18.920 --> 03:55:24.920]   And with that, otherwise, I do want to say that I am looking forward to a great exciting year, some calm.
[03:55:24.920 --> 03:55:30.920]   OUEA is here to support our students and our community and advocate for great public education. Thank you.
[03:55:30.920 --> 03:55:35.920]   Thank you.
[03:55:35.920 --> 03:55:41.920]   Next up, Kara Sparks.
[03:55:41.920 --> 03:55:48.920]   And then Tatiana.
[03:55:48.920 --> 03:56:02.920]   I know I'm a taxpayer homeowner and a mom of two second generation OUSD students, one of which we just heard from. And when you heard from a couple of sessions ago, talking about eSports, she's at USC now.
[03:56:02.920 --> 03:56:06.920]   So I want to talk to you about the poll.
[03:56:06.920 --> 03:56:15.920]   Why a new poll? Well, obviously you heard from Lucy the age and the quality of the poll is just not good. It's not good at all. It's bad.
[03:56:15.920 --> 03:56:25.920]   There's multiple injuries, including stitches. And obviously the water is a big concern as our students are breathing in this water and it is disgusting.
[03:56:25.920 --> 03:56:36.920]   So we have to think about illness and other types of injuries that they're cutting themselves and there's dirty water that's causing problems with bacteria, potential infection.
[03:56:36.920 --> 03:56:50.920]   And, excuse me, losses as she mentioned. So repeated repairs and closures resulting in gains and needs disruptions as well as issues with the water quality, which I mentioned.
[03:56:50.920 --> 03:56:53.920]   Now, why a 50 meter?
[03:56:53.920 --> 03:56:58.920]   Well, again, we can accommodate a large swim program.
[03:56:58.920 --> 03:57:08.920]   Most of the districts in Orange County have at least 150 meter pool within the district. We do not. We are not competitive.
[03:57:08.920 --> 03:57:16.920]   And this can also help our students have access to proper training and most of the off season swimming is in 50 meter pools.
[03:57:16.920 --> 03:57:25.920]   These are used in professional and club events so we can use it for renting out for monetary value to the district.
[03:57:25.920 --> 03:57:34.920]   As we see enrollment decline as we just saw in the presentation, we need to be thinking about revenue generation and this is one way we can do that.
[03:57:34.920 --> 03:57:42.920]   And then I keep hearing the concerns about the cost, but I'm not hearing anyone speak of the value, nor have I heard discussions around an ROI.
[03:57:42.920 --> 03:57:49.920]   If there wasn't, I would love to see it because we need to be speaking about that as well, not just the cost.
[03:57:49.920 --> 03:57:57.920]   Though I agree we should be ensuring the money is spent is not spent excessively. This pool can be a substantial revenue stream.
[03:57:57.920 --> 03:58:03.920]   Allowing for me to our district currently has no opportunity to host with our smaller pools.
[03:58:03.920 --> 03:58:08.920]   The revenue is going to surrounding districts that do in fact have 50 meter pools.
[03:58:08.920 --> 03:58:18.920]   So IDP, the number of students in our program, the CIF rankings within our school. We have a CIF champion that just spoke to you today.
[03:58:18.920 --> 03:58:26.920]   We have the third rated GPA and in the CF list. We have the coach of the year.
[03:58:26.920 --> 03:58:34.920]   We have two students that were mentioned in the top county again when sitting here and it can be accessible by all pools.
[03:58:34.920 --> 03:58:38.920]   All students that need a pool like Fred Kelly.
[03:58:38.920 --> 03:58:44.920]   That's it. Thank you.
[03:58:44.920 --> 03:58:50.920]   Thank you. And I'm having a hard time reading this name, but I think it's Tatiana.
[03:58:50.920 --> 03:58:55.920]   Thank you.
[03:58:55.920 --> 03:59:07.920]   Hello. Good evening, everyone. My name is Tatiana Andresky. I have been on goals for four years. I'd like to start with how on our end to be here representing the team that showed me the best
[03:59:07.920 --> 03:59:16.920]   partnership and how to go as a person. I think that what many of you don't take into perspective is that it's not just a team. It's not just swing for fun.
[03:59:16.920 --> 03:59:19.920]   Throughout the years we've been made, we've made a lot of accomplishments.
[03:59:19.920 --> 03:59:27.920]   The ones that made all of our coaches so proud, the CIF plaque right at the beginning of the pool entrance.
[03:59:27.920 --> 03:59:39.920]   This entire team is a family we've been traveling with two different summits, a family that we'll be with for years to come, and a family of bright individuals who dedicate a lot of their time to swimming.
[03:59:39.920 --> 03:59:44.920]   I can't start to explain all the happiness this team has brought me, but I will say this.
[03:59:44.920 --> 03:59:54.920]   Every single morning practice, every afternoon practice, and every move schedule or swimming that I've been with on this team has shown me how important it is to be on a team.
[03:59:54.920 --> 04:00:01.920]   Even more to be on a team that others can rely on that won't have a pool that breaks down every other week.
[04:00:01.920 --> 04:00:10.920]   We have asked so many times for other teams' help and they're out of the kindness of their heart and out of the generosity. They have allowed us to use their pool.
[04:00:10.920 --> 04:00:15.920]   When does it our turn to repay all those other teams that have allowed us to use their pool?
[04:00:15.920 --> 04:00:21.920]   If we had a 50-meter pool, not only could we host more meets, we could hold more practices for our own team.
[04:00:21.920 --> 04:00:32.920]   There has been many times that our practices have overlapped, leaving us with limited amount of lanes because our 25-meter pool is not sufficient and is not well maintained.
[04:00:32.920 --> 04:00:42.920]   Not to mention the amount of meat warm-up so we couldn't do all of the practices that we needed because of the fact that it wasn't an offer room.
[04:00:42.920 --> 04:00:51.920]   As a swimmer myself, I can't begin to express the frustration it brings me and all the other swimmers when we are denied access to a new pool to be built.
[04:00:51.920 --> 04:00:59.920]   Everything else on campus is up to speed. For a few weeks now, construction workers have been working on the gym, for example, that is across from the pool.
[04:00:59.920 --> 04:01:10.920]   The swim pool field track and the baseball field are all up to the Olympic standard. I can't believe it takes these many people telling you how helpful a 50-meter pool would be to understand the importance of this decision.
[04:01:10.920 --> 04:01:12.920]   Thank you for your time.
[04:01:12.920 --> 04:01:32.920]   Thank you. Jerry Oczewski.
[04:01:32.920 --> 04:01:42.920]   My name is Jerry Oczewski. I'm the head coach of Orange County Gold. I'm also a volunteer coach for Villapart High School.
[04:01:42.920 --> 04:01:57.920]   I've been coaching for over 40 years. I've seen a lot of pools. I've seen a lot of facilities, good and bad. I've also coached high school teams, college teams.
[04:01:57.920 --> 04:02:15.920]   Orange County Gold is a 501(c)(3) youth oriented sports team. We operate primarily out of Villapart High School. Sometimes we use Orange High School when it's allowed.
[04:02:15.920 --> 04:02:33.920]   All three members of our present team live within the OUSD boundaries. This is truly an OUSD-sponsored youth sports program.
[04:02:33.920 --> 04:02:44.920]   This year, every member of the summer team, the summer water polo program, all of our swim lessons, and our master's group live within the boundaries.
[04:02:44.920 --> 04:02:59.920]   Currently, our OUSD community-based program can only offer the summer team, water polo team lessons, and master's swimming in the summer because of the restrictions.
[04:02:59.920 --> 04:03:13.920]   Just in time, kids are in school, it gets dark early, it gets cold, there's no locker rooms. The kids have to walk or know about 100-150 yards to the bathroom.
[04:03:13.920 --> 04:03:20.920]   It's not a good situation. The pool is in disrepair.
[04:03:20.920 --> 04:03:37.920]   I've seen when they fix the pool or when they repair it, I've seen some of the plumbing. Even if they re-plaster the pool, the amount of time and effort and money to re-plumb the entire facility,
[04:03:37.920 --> 04:03:57.920]   you might as well just build a whole new 50-meter pool. The 50-meter pool is considered a multi-use facility, a 25-yard pool, which all the OUSD pools are right now, are single-use,
[04:03:57.920 --> 04:04:10.920]   meaning only your water polo program can use the pool at one time or the swim program, and we have to take all the lane lines out, the water polo, the water polo has to put in their goals.
[04:04:10.920 --> 04:04:21.920]   There's a lot of wasted time. This is OUSD's second attempt to build a 50-meter multi-use facility. The first was ELMO.
[04:04:21.920 --> 04:04:36.920]   Now they have a single-use facility. It's a 30-meter pool that only one sport can be in at a time or, as mentioned before, only the varsity team or the JVT.
[04:04:36.920 --> 04:04:49.920]   Thank you.
